LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01000001,0.024,-1.654,-2.012,31.873,0.006,-2.107
E01000002,0.063,-1.115,-2.343,23.084,0.037,-1.907
E01000003,5.804,-0.102,-1.032,40.535,0.052,-0.292
E01000005,22.260,-0.121,-1.317,28.979,0.209,0.338
E01000006,14.798,-0.359,-0.147,26.888,0.155,-0.366
E01000007,11.385,-0.027,0.846,25.995,0.253,-0.133
E01000008,25.506,0.250,0.353,30.233,0.298,0.129
E01000009,15.713,0.454,0.895,28.601,0.194,0.101
E01000010,11.762,-0.002,1.214,47.932,0.220,0.022
E01000011,22.519,-0.137,0.526,39.857,0.189,0.273
E01000012,19.774,-0.056,0.542,36.881,0.299,0.378
E01000013,24.003,0.670,1.199,30.424,0.243,-0.257
E01000014,31.501,0.350,0.825,25.122,0.203,0.142
E01000015,26.013,0.025,0.372,25.696,0.250,0.110
E01000016,28.996,0.373,0.528,24.950,0.251,-0.180
E01000017,22.899,0.694,0.317,27.688,0.318,-0.300
E01000018,26.358,0.273,0.457,25.659,0.284,-0.126
E01000019,26.111,0.477,0.645,26.826,0.196,-0.049
E01000020,24.184,0.760,0.651,30.078,0.231,-0.046
E01000021,31.637,0.418,0.559,44.214,0.291,0.451
E01000022,27.111,0.427,0.506,30.435,0.248,0.122
E01000023,22.994,0.033,1.286,39.968,0.322,0.246
E01000024,29.298,0.263,0.244,29.869,0.156,0.329
E01000025,25.691,0.395,0.837,28.042,0.278,-0.258
E01000027,38.122,0.148,1.042,20.329,0.276,0.592
E01000028,27.699,1.138,-0.111,16.282,0.269,0.165
E01000029,17.349,-0.280,0.350,21.974,0.126,-0.189
E01000030,38.753,0.016,0.499,20.993,0.344,0.698
E01000031,12.953,0.046,0.919,27.703,0.168,-0.446
E01000032,23.035,0.095,0.913,38.369,0.169,-0.176
E01000033,32.037,0.278,0.162,21.763,0.345,0.080
E01000034,33.858,0.661,0.302,18.010,0.249,0.390
E01000035,25.536,0.397,0.242,23.071,0.221,0.239
E01000036,15.969,-0.185,0.386,27.612,0.169,-0.780
E01000037,20.288,-0.504,-0.067,19.057,0.128,-0.025
E01000038,18.702,-0.103,0.204,27.001,0.204,-0.460
E01000039,19.753,0.173,0.092,17.527,0.165,-0.022
E01000040,31.332,0.155,0.607,29.323,0.262,0.382
E01000041,33.867,0.349,0.432,33.127,0.198,0.142
E01000042,31.450,0.526,0.263,24.750,0.286,0.335
E01000043,28.946,0.044,0.574,33.853,0.165,0.071
E01000044,22.263,-0.410,1.077,44.130,0.171,0.180
E01000045,24.013,0.279,1.214,35.245,0.217,0.053
E01000046,28.185,0.222,-0.026,30.260,0.208,-0.104
E01000048,26.490,0.495,0.246,20.578,0.389,0.030
E01000049,27.852,0.409,0.376,26.588,0.335,0.089
E01000050,22.642,0.610,0.740,36.588,0.152,0.138
E01000051,28.197,0.391,0.859,27.521,0.322,0.048
E01000052,27.403,-0.153,0.335,38.532,0.212,0.433
E01000053,27.703,0.701,1.217,26.503,0.279,0.221
E01000054,26.697,0.198,0.514,31.481,0.244,-0.079
E01000055,27.143,0.126,0.047,29.369,0.295,0.102
E01000056,25.304,0.455,0.485,23.506,0.225,-0.320
E01000057,31.462,0.097,0.644,30.046,0.254,0.610
E01000058,25.845,0.147,0.358,27.809,0.250,0.117
E01000059,28.140,0.136,0.414,32.699,0.194,0.113
E01000060,25.540,0.282,1.109,24.729,0.244,0.047
E01000061,39.776,1.013,0.145,15.967,0.359,0.267
E01000062,30.730,-0.143,0.558,20.153,0.181,0.444
E01000063,37.624,0.286,0.342,35.452,0.217,0.661
E01000064,24.438,0.390,0.212,34.175,0.257,-0.184
E01000065,26.185,0.817,0.324,29.310,0.245,0.076
E01000066,18.294,0.054,-0.273,17.916,0.143,-0.527
E01000067,15.990,-0.388,0.381,21.711,0.162,-0.715
E01000068,16.187,0.167,0.946,31.382,0.128,-0.472
E01000069,16.481,-0.626,0.032,28.360,0.089,-0.699
E01000070,14.434,-0.442,0.840,27.639,0.121,-0.699
E01000071,14.114,-0.261,-0.155,22.064,0.158,-0.558
E01000072,34.242,0.478,1.197,30.082,0.290,0.315
E01000073,35.140,0.570,1.346,23.636,0.237,0.367
E01000074,32.398,0.461,0.005,22.806,0.287,0.418
E01000075,36.347,0.136,1.057,39.815,0.279,0.472
E01000076,36.193,0.097,0.287,27.020,0.211,0.181
E01000077,33.494,0.725,0.487,35.020,0.294,0.058
E01000078,33.668,0.035,0.467,33.091,0.322,0.359
E01000079,24.526,0.045,0.253,29.325,0.252,-0.246
E01000080,26.379,0.445,0.145,24.492,0.221,-0.177
E01000081,30.952,0.225,0.192,32.758,0.207,0.104
E01000082,31.053,-0.111,-0.221,30.006,0.171,0.174
E01000083,27.072,0.361,0.434,35.395,0.249,0.064
E01000084,36.839,0.338,1.309,28.534,0.266,0.545
E01000085,36.259,-0.227,1.036,32.465,0.197,0.347
E01000086,28.503,0.890,0.868,26.281,0.236,0.144
E01000087,27.171,0.046,0.135,31.357,0.263,-0.190
E01000088,20.313,0.264,0.552,34.525,0.177,-0.311
E01000089,25.246,-0.154,0.189,40.955,0.216,-0.100
E01000090,22.024,-0.187,0.700,29.464,0.250,-0.161
E01000091,32.562,0.324,0.994,23.563,0.270,0.119
E01000092,18.788,-0.008,0.657,29.993,0.263,-0.083
E01000093,27.955,0.842,1.073,43.570,0.320,0.263
E01000094,10.866,-0.036,0.524,20.692,0.191,-0.239
E01000095,22.314,-0.111,0.944,18.657,0.262,0.161
E01000096,34.307,0.008,1.284,29.982,0.345,0.444
E01000097,32.926,0.808,0.468,28.566,0.232,0.264
E01000098,31.389,0.443,0.911,28.673,0.260,0.091
E01000099,25.037,0.214,0.008,26.795,0.200,-0.218
E01000100,29.622,0.106,0.634,38.207,0.167,0.146
E01000101,28.988,0.464,0.832,37.223,0.294,-0.002
E01000102,23.976,0.684,0.762,33.800,0.322,-0.181
E01000103,26.208,0.427,0.580,20.068,0.236,-0.211
E01000104,31.664,0.276,0.131,18.066,0.275,0.244
E01000105,36.132,0.932,1.039,25.589,0.273,0.488
E01000106,27.219,0.636,0.786,26.265,0.316,0.309
E01000107,29.324,0.579,-0.027,22.813,0.221,0.252
E01000108,20.596,0.158,0.183,35.136,0.275,-0.249
E01000109,22.485,-0.199,0.891,34.149,0.150,-0.199
E01000110,12.848,-0.002,-0.312,20.544,0.149,-0.707
E01000111,20.878,0.187,0.313,26.789,0.196,-0.166
E01000112,18.969,-0.324,0.602,40.766,0.168,0.005
E01000113,16.983,-0.122,0.708,26.945,0.213,-0.041
E01000114,19.124,-0.117,0.423,34.274,0.167,-0.406
E01000115,3.734,-1.526,-0.545,18.838,0.073,-1.576
E01000116,3.870,-1.412,-0.430,18.248,0.063,-0.957
E01000117,6.077,-1.141,-0.168,17.660,0.051,-0.534
E01000118,8.590,-1.679,-0.206,16.261,0.094,-0.430
E01000119,3.312,-1.884,0.627,21.949,0.066,-1.424
E01000120,4.436,-1.580,-0.568,14.872,0.048,-1.301
E01000121,22.583,0.261,0.336,13.339,0.294,0.176
E01000122,2.257,-1.246,-0.622,21.817,0.053,-1.793
E01000123,8.519,-1.062,-0.684,15.659,0.114,-0.577
E01000124,14.674,-0.593,0.491,20.768,0.191,0.170
E01000125,23.785,-0.615,0.586,20.582,0.210,0.149
E01000126,13.210,-0.077,-0.164,24.433,0.270,-0.279
E01000127,21.348,-0.495,0.424,22.920,0.224,-0.069
E01000128,22.529,-0.346,0.957,27.146,0.236,-0.188
E01000129,23.973,-0.148,1.004,25.543,0.176,-0.151
E01000130,19.118,-0.331,0.839,35.288,0.203,-0.138
E01000131,10.900,-0.802,1.133,20.979,0.110,-0.764
E01000132,22.698,-0.464,0.309,25.837,0.232,0.087
E01000133,24.516,-0.059,0.065,26.720,0.153,-0.047
E01000134,20.260,-0.579,-0.195,27.225,0.212,0.181
E01000135,4.357,-1.087,0.385,33.536,0.089,-0.579
E01000136,0.946,-1.930,0.188,36.198,0.023,-1.272
E01000137,8.140,0.077,0.348,22.835,0.301,-0.476
E01000138,8.449,-0.547,1.066,31.895,0.217,-0.775
E01000139,4.481,-1.326,0.610,29.280,0.110,-0.573
E01000140,9.457,-0.914,-0.026,30.341,0.175,0.001
E01000141,11.280,-0.736,1.518,52.220,0.207,-0.237
E01000142,8.856,-0.676,-0.373,28.680,0.162,-0.256
E01000143,16.558,-0.081,0.763,19.252,0.318,-0.026
E01000144,8.328,-0.906,0.717,29.170,0.079,-0.022
E01000145,4.679,-1.500,0.196,32.598,0.066,-0.613
E01000146,4.798,-1.542,0.638,29.849,0.098,-0.451
E01000147,9.893,-1.990,0.336,33.415,0.057,-0.962
E01000148,15.794,-0.042,0.009,29.844,0.192,-0.175
E01000150,9.297,-1.385,-0.033,33.545,0.134,-0.522
E01000151,18.815,-0.203,0.085,19.735,0.393,0.044
E01000152,25.229,-0.552,0.049,16.001,0.303,0.329
E01000153,36.066,-0.047,0.872,18.106,0.324,0.621
E01000154,22.212,0.007,0.827,22.744,0.161,0.203
E01000155,12.175,-1.303,-0.128,47.350,0.192,-0.110
E01000156,1.668,-0.991,-0.158,19.997,0.087,-1.238
E01000157,10.386,-1.084,-0.281,32.014,0.124,0.029
E01000158,10.783,-0.598,0.561,31.142,0.153,-0.297
E01000159,4.883,-1.287,0.561,17.393,0.160,-0.919
E01000160,7.531,-1.028,0.463,26.093,0.078,-0.171
E01000161,3.782,-0.524,0.612,20.014,0.146,-1.067
E01000162,9.943,-0.479,0.481,27.187,0.111,-0.621
E01000163,13.328,0.036,0.260,21.987,0.220,-0.132
E01000164,11.909,-0.666,0.841,28.698,0.170,-0.279
E01000165,5.196,-1.290,0.198,16.048,0.123,-0.569
E01000166,7.160,-0.922,0.276,13.626,0.093,-0.535
E01000167,22.649,0.166,0.516,18.270,0.288,0.020
E01000168,3.410,-1.486,-0.095,21.500,0.047,-1.093
E01000169,4.871,-1.209,0.466,25.647,0.100,-1.105
E01000170,10.294,-0.625,0.536,25.376,0.164,-0.586
E01000171,12.300,-0.164,0.288,33.967,0.276,-0.022
E01000172,2.666,-1.613,-0.743,25.960,0.087,-1.144
E01000173,5.844,-1.130,-0.085,23.152,0.093,-1.226
E01000174,8.050,-0.672,-0.248,29.971,0.132,-0.622
E01000175,2.159,-1.450,0.185,15.768,0.042,-1.368
E01000176,19.609,-0.459,0.377,17.867,0.293,0.340
E01000177,4.627,-1.826,0.031,29.925,0.075,-0.404
E01000178,1.098,-1.310,-0.150,23.749,0.052,-1.313
E01000179,2.024,-0.712,-0.087,19.606,0.089,-0.825
E01000180,4.839,-1.044,-0.257,19.421,0.103,-0.546
E01000181,0.310,-1.634,0.070,29.674,0.064,-1.892
E01000182,0.420,-1.738,-0.177,37.424,0.033,-1.599
E01000183,1.885,-0.676,-0.504,20.769,0.066,-0.918
E01000184,17.632,-0.186,0.303,35.661,0.258,-0.026
E01000185,12.502,-0.208,-0.438,19.475,0.298,-0.246
E01000186,3.442,-1.988,-0.699,18.927,0.030,-0.827
E01000187,7.661,-0.599,-0.561,14.508,0.099,-0.504
E01000188,2.684,-2.011,0.509,27.374,0.035,-0.936
E01000189,25.611,-0.871,-0.444,43.589,0.172,0.047
E01000190,5.319,-1.301,-0.437,16.240,0.099,-0.646
E01000191,1.760,-1.605,-0.547,18.833,0.041,-1.224
E01000192,6.778,-1.035,0.535,28.127,0.125,-0.350
E01000193,7.965,-1.393,0.546,33.122,0.083,-0.344
E01000194,5.706,-1.007,0.884,29.783,0.133,-0.942
E01000195,23.459,-0.580,0.143,19.966,0.209,0.154
E01000196,5.839,-1.183,-0.675,22.920,0.079,-0.377
E01000197,1.749,-1.585,0.035,34.534,0.110,-1.240
E01000198,2.096,-1.852,-0.606,25.751,0.097,-1.262
E01000199,1.162,-2.149,-0.138,16.028,0.051,-1.324
E01000200,1.098,-1.812,0.008,19.860,0.066,-1.436
E01000201,0.774,-1.855,-0.066,32.502,0.031,-1.752
E01000202,1.508,-1.941,-0.497,23.038,0.047,-1.096
E01000203,5.763,-1.173,-0.564,24.962,0.132,-0.871
E01000204,3.121,-1.795,0.300,27.209,0.061,-0.753
E01000205,1.073,-1.993,0.215,23.489,0.059,-1.237
E01000206,1.793,-2.703,0.147,24.319,0.015,-1.048
E01000207,2.896,-2.053,-0.487,27.164,0.038,-0.677
E01000208,1.282,-2.453,0.170,22.502,0.035,-1.073
E01000209,0.414,-1.562,-0.013,22.769,0.032,-1.528
E01000210,0.518,-1.850,0.359,27.374,0.071,-1.519
E01000211,3.225,-0.835,-0.369,27.757,0.152,-0.825
E01000212,0.467,-1.669,-0.219,25.698,0.064,-1.709
E01000213,1.321,-2.218,-0.450,31.330,0.013,-1.023
E01000214,0.416,-2.082,0.283,23.936,0.044,-1.703
E01000215,6.101,-0.575,-0.456,22.190,0.053,-0.564
E01000216,2.247,-1.305,-0.268,21.240,0.043,-0.942
E01000217,9.331,-1.212,-0.342,29.261,0.063,-0.121
E01000218,9.755,-0.755,0.132,25.532,0.092,-0.110
E01000219,14.667,-0.764,0.403,31.116,0.051,0.252
E01000220,7.734,-0.480,-0.403,29.431,0.079,-0.269
E01000221,23.471,0.346,1.127,29.763,0.318,0.210
E01000222,12.267,-0.287,0.729,29.883,0.165,-0.299
E01000223,21.168,-0.005,0.888,28.472,0.228,-0.191
E01000224,14.005,-0.928,-0.054,27.142,0.215,-0.141
E01000225,6.550,-1.052,-0.009,22.709,0.031,-0.326
E01000226,23.481,0.373,-0.171,30.803,0.228,-0.099
E01000227,4.644,-1.687,-0.601,18.465,0.074,-1.151
E01000228,5.053,-1.232,0.618,17.002,0.100,-0.731
E01000229,11.185,-0.868,0.071,18.134,0.135,-0.282
E01000230,8.824,-1.463,-0.336,14.054,0.067,-0.481
E01000231,4.325,-1.112,0.156,22.468,0.136,-1.011
E01000232,5.022,-0.843,0.019,20.257,0.118,-0.698
E01000233,4.009,-1.829,-0.162,20.027,0.072,-0.901
E01000234,3.867,-1.185,-0.259,18.383,0.062,-0.808
E01000235,18.521,-0.622,0.481,28.246,0.202,0.133
E01000236,3.637,-1.135,-0.545,26.189,0.062,-0.693
E01000237,1.569,-1.722,0.266,29.614,0.054,-1.379
E01000238,4.747,-1.429,-0.190,31.179,0.092,-0.711
E01000239,6.545,-0.872,-0.006,25.352,0.195,-0.417
E01000240,5.762,-1.108,0.071,28.397,0.154,-0.617
E01000241,1.467,-1.771,-0.181,24.967,0.089,-1.336
E01000242,3.590,-0.959,0.287,21.089,0.119,-1.032
E01000243,4.629,-0.996,0.105,37.611,0.076,-0.548
E01000244,6.449,-1.024,0.292,45.264,0.078,-0.274
E01000245,11.778,-0.366,0.449,29.665,0.195,-0.303
E01000246,1.711,-1.472,0.498,21.694,0.063,-1.329
E01000247,2.680,-1.249,-0.555,13.317,0.087,-1.196
E01000248,1.477,-1.413,0.520,19.701,0.030,-1.252
E01000249,1.170,-1.947,0.087,16.223,0.016,-1.604
E01000250,3.559,-1.451,0.064,20.775,0.165,-0.877
E01000251,7.175,-0.578,0.114,22.749,0.149,-0.731
E01000252,2.148,-1.040,0.165,13.639,0.084,-1.143
E01000253,3.480,-0.861,0.187,11.349,0.069,-1.423
E01000254,2.182,-1.332,-0.121,29.206,0.042,-0.952
E01000255,6.712,-1.007,0.195,24.066,0.204,-0.813
E01000256,3.474,-1.523,0.014,18.002,0.113,-0.663
E01000257,17.095,-0.383,0.252,21.402,0.188,0.079
E01000258,3.553,-1.215,0.361,25.212,0.066,-0.690
E01000259,3.908,-1.594,0.318,19.213,0.122,-0.827
E01000260,10.626,-0.992,0.203,24.416,0.140,-0.150
E01000261,1.120,-1.964,-0.944,18.535,0.025,-1.501
E01000262,7.639,-1.535,-0.404,15.179,0.108,-0.375
E01000263,1.201,-2.094,-0.311,20.901,0.022,-1.363
E01000264,5.608,-1.209,0.195,29.859,0.155,-0.714
E01000265,6.251,-0.774,-0.357,21.211,0.155,-0.795
E01000266,2.204,-1.594,0.572,20.379,0.046,-1.512
E01000267,2.451,-1.070,-0.628,30.675,0.114,-1.405
E01000268,8.957,-1.026,-0.132,22.772,0.249,-0.049
E01000269,5.730,-1.522,0.173,22.356,0.113,-1.124
E01000270,2.743,-1.613,0.109,21.073,0.093,-1.081
E01000271,2.069,-1.838,-0.499,16.985,0.047,-1.513
E01000272,1.163,-1.587,-0.007,14.362,0.018,-1.781
E01000273,3.636,-0.964,-0.127,18.949,0.137,-0.754
E01000274,7.751,-0.901,-0.061,22.706,0.166,-0.632
E01000275,3.017,-0.996,-0.842,14.371,0.178,-0.827
E01000276,0.771,-2.082,-1.275,13.428,0.021,-1.623
E01000277,4.070,-0.769,-0.957,19.329,0.099,-0.784
E01000278,0.964,-1.831,-1.202,21.104,0.028,-1.515
E01000279,1.781,-2.378,0.538,12.864,0.019,-1.398
E01000280,0.945,-2.161,-0.630,15.478,0.017,-1.649
E01000281,6.189,-0.996,-0.177,18.025,0.061,-0.810
E01000282,1.968,-1.781,0.194,21.335,0.038,-1.441
E01000283,0.596,-2.208,-0.928,14.301,0.024,-1.688
E01000284,5.239,-0.698,-0.094,17.659,0.176,-0.591
E01000285,8.337,-0.706,0.220,17.854,0.165,-0.889
E01000286,11.092,-0.444,0.640,23.410,0.207,-0.411
E01000287,21.677,-0.404,0.314,22.608,0.185,0.106
E01000288,8.012,-1.187,0.101,21.620,0.089,-0.594
E01000289,28.383,-0.327,0.693,18.355,0.313,0.274
E01000290,10.938,-0.714,0.486,13.391,0.130,-0.446
E01000291,25.657,-0.267,0.721,11.862,0.266,0.073
E01000292,3.672,-1.209,0.185,18.462,0.061,-1.078
E01000293,1.381,-1.409,0.092,21.151,0.091,-1.785
E01000294,2.224,-0.295,-1.003,12.621,0.072,-1.213
E01000295,1.118,-1.255,0.492,41.739,0.028,-1.445
E01000296,4.316,-1.184,0.231,23.002,0.097,-0.494
E01000297,7.204,-1.322,-0.395,19.889,0.085,-0.341
E01000298,1.708,-1.449,0.331,27.123,0.112,-1.134
E01000299,2.994,-0.639,0.409,41.331,0.142,-0.885
E01000300,3.089,-0.681,-0.181,21.835,0.090,-0.730
E01000301,1.066,-1.613,-0.260,21.665,0.024,-1.578
E01000302,6.762,-0.724,-0.287,18.501,0.140,-0.266
E01000303,1.124,-1.639,-0.581,12.460,0.045,-1.511
E01000304,4.188,-0.637,-0.642,23.302,0.080,-0.491
E01000305,15.048,-0.648,0.481,34.409,0.182,0.024
E01000306,13.002,-0.947,0.156,31.348,0.049,-0.400
E01000307,18.495,-1.017,0.834,32.261,0.197,-0.301
E01000308,25.938,-0.535,1.036,31.921,0.243,0.415
E01000309,3.428,-1.603,-0.061,26.827,0.112,-0.871
E01000310,14.199,-0.751,0.280,28.117,0.130,0.177
E01000311,1.966,-1.843,0.539,31.631,0.024,-1.086
E01000312,9.643,-0.250,-0.218,21.426,0.147,-0.785
E01000313,11.933,-0.586,0.188,30.047,0.090,-0.439
E01000314,2.835,-1.415,0.599,25.473,0.052,-0.947
E01000315,23.302,-0.325,0.821,19.208,0.246,-0.099
E01000316,3.672,-1.038,0.761,30.861,0.163,-0.784
E01000317,2.406,-1.149,-0.216,21.911,0.073,-1.053
E01000318,3.402,-1.163,0.621,25.854,0.121,-1.251
E01000319,1.877,-1.324,0.193,23.027,0.070,-1.269
E01000320,1.303,-1.780,-0.389,19.714,0.097,-1.549
E01000321,4.408,-1.081,-0.071,31.229,0.133,-0.840
E01000322,2.411,-1.241,-0.254,28.924,0.153,-1.297
E01000323,4.866,-0.482,0.644,35.376,0.120,-0.673
E01000324,4.525,-0.569,0.198,21.960,0.100,-1.312
E01000325,11.501,-1.385,-0.419,14.375,0.064,-0.608
E01000326,16.265,-1.095,-0.091,26.995,0.108,-0.030
E01000327,11.786,-0.737,-0.238,16.278,0.059,-0.473
E01000328,17.211,-0.693,0.714,13.589,0.070,-0.361
E01000329,20.584,-0.916,0.401,19.845,0.150,-0.243
E01000330,13.023,-0.107,-0.240,31.997,0.176,-0.672
E01000331,33.267,-0.004,0.312,22.699,0.215,0.330
E01000332,16.749,-0.815,0.407,25.330,0.176,-0.047
E01000333,34.467,0.056,0.197,23.367,0.228,0.703
E01000334,20.914,-0.772,-0.315,13.728,0.128,0.163
E01000335,37.431,-0.457,0.732,31.915,0.220,1.015
E01000336,24.927,-0.129,0.386,27.661,0.288,0.101
E01000337,15.541,-0.715,0.035,23.293,0.311,-0.074
E01000338,17.740,-0.261,0.267,31.707,0.180,-0.056
E01000339,23.223,-0.302,-0.154,12.707,0.181,0.074
E01000340,19.776,-0.481,-0.614,28.127,0.120,-0.291
E01000341,14.854,-0.807,-0.623,16.246,0.080,-0.945
E01000342,17.660,-1.001,-0.158,24.005,0.020,-0.242
E01000343,15.982,-0.922,-0.474,18.648,0.069,-0.698
E01000344,12.306,-0.703,-0.513,13.015,0.041,-0.745
E01000345,12.598,-0.778,-0.710,17.590,0.052,-0.906
E01000346,15.303,-0.759,-0.023,24.630,0.070,-0.594
E01000347,22.953,-0.584,-0.483,22.451,0.076,-0.190
E01000348,12.641,-1.292,-0.660,14.633,0.018,-1.186
E01000349,9.743,-1.158,-0.813,16.379,0.065,-0.601
E01000350,17.944,-0.832,-0.577,20.794,0.065,-0.067
E01000351,16.400,-1.138,-0.687,12.409,0.093,-0.465
E01000352,21.656,-0.728,-0.116,23.870,0.139,-0.008
E01000353,9.686,-1.378,-0.353,15.115,0.085,-1.168
E01000354,23.867,-0.054,-0.667,21.561,0.178,0.202
E01000355,16.778,-0.741,-0.346,17.910,0.039,-0.413
E01000356,12.733,-0.915,-0.507,14.394,0.096,-0.834
E01000357,11.965,-1.286,-0.704,14.658,0.030,-0.667
E01000358,12.017,-1.075,-0.750,16.626,0.065,-0.632
E01000359,10.117,-1.244,-0.859,16.885,0.096,-0.873
E01000360,7.884,0.031,0.373,32.745,0.128,-0.871
E01000361,13.448,-0.882,-0.362,19.662,0.112,-0.548
E01000362,13.386,-0.903,0.499,21.256,0.148,-0.449
E01000363,9.685,-0.759,-0.454,22.855,0.080,-0.771
E01000364,12.906,-0.489,-0.486,25.496,0.136,-0.768
E01000365,9.920,-0.431,0.595,23.711,0.140,-0.721
E01000366,8.745,-0.838,-0.233,18.271,0.166,-0.670
E01000367,36.267,-0.195,0.237,15.912,0.310,0.633
E01000368,44.364,-0.015,-0.146,16.009,0.327,0.899
E01000369,21.126,-0.567,-0.226,20.593,0.148,0.204
E01000370,14.165,-0.682,-0.706,17.969,0.103,-0.678
E01000371,13.957,-0.965,-0.624,16.171,0.091,-0.179
E01000372,30.801,0.357,-0.117,21.727,0.268,0.358
E01000373,37.080,0.174,0.578,17.050,0.144,0.817
E01000374,48.486,0.690,0.056,30.276,0.265,1.052
E01000375,26.088,-0.393,0.066,27.738,0.147,0.235
E01000376,17.181,-0.260,0.727,27.960,0.113,-0.255
E01000377,16.399,-0.888,0.142,14.852,0.089,0.002
E01000378,21.688,-0.211,0.181,28.836,0.170,0.202
E01000379,23.517,-0.573,0.254,28.683,0.195,0.253
E01000380,30.464,-0.259,-0.771,13.297,0.169,0.350
E01000381,27.770,-0.036,-0.079,22.274,0.206,0.337
E01000382,6.073,-1.105,-0.685,10.990,0.039,-1.289
E01000383,19.715,-0.350,0.989,17.296,0.150,-0.310
E01000384,9.625,-0.742,-0.253,27.452,0.146,-0.719
E01000385,32.616,0.563,0.219,19.851,0.309,0.513
E01000386,40.720,0.897,0.336,22.337,0.301,0.968
E01000387,10.449,-0.773,-0.156,11.659,0.078,-0.479
E01000388,13.402,-0.924,0.288,18.881,0.087,-0.938
E01000389,11.196,-1.107,0.066,14.270,0.154,-0.646
E01000390,14.297,-0.457,-0.085,20.569,0.060,-0.760
E01000391,22.158,-0.908,-0.304,24.914,0.099,-0.105
E01000392,23.610,-0.062,-0.219,31.407,0.212,0.049
E01000393,10.425,-0.883,0.030,30.198,0.047,-0.851
E01000394,7.925,-0.630,-0.444,15.564,0.089,-0.869
E01000395,9.871,-0.966,-0.920,17.388,0.034,-1.136
E01000396,12.869,-0.554,-1.064,23.289,0.062,-1.020
E01000398,33.033,-0.448,-0.882,20.399,0.143,0.391
E01000399,20.401,-1.177,-0.452,22.475,0.052,-0.450
E01000400,17.028,-0.656,-0.419,27.399,0.132,-0.465
E01000401,26.036,-0.017,-0.318,25.429,0.181,0.204
E01000402,21.148,-0.249,0.336,20.091,0.232,0.228
E01000403,22.344,-0.180,1.236,14.797,0.272,0.258
E01000404,23.039,0.148,0.508,17.527,0.295,0.468
E01000405,21.194,0.175,0.393,31.647,0.240,-0.045
E01000406,20.805,-0.179,0.633,25.805,0.235,0.130
E01000407,19.482,-0.606,-0.239,27.796,0.131,-0.111
E01000408,22.216,-0.075,0.351,29.548,0.300,0.063
E01000409,17.739,-1.249,-1.230,14.198,0.043,-0.969
E01000410,15.232,-0.804,-0.148,18.793,0.051,-0.624
E01000411,18.064,-0.831,-0.407,24.538,0.069,-0.340
E01000412,13.642,-0.870,-0.567,19.754,0.033,-0.436
E01000413,23.404,-0.845,-0.133,19.080,0.075,0.095
E01000414,12.568,-0.966,0.472,29.738,0.139,-0.664
E01000415,14.993,-1.211,-0.244,14.797,0.038,-0.929
E01000416,16.656,-0.361,1.066,15.171,0.220,-0.235
E01000417,17.267,-0.351,0.255,21.216,0.188,-0.312
E01000418,18.214,-0.624,0.094,22.374,0.188,-0.007
E01000419,12.155,-0.777,-0.439,20.176,0.077,-1.081
E01000420,22.130,-0.760,-0.463,14.547,0.116,0.170
E01000421,9.262,-0.614,-0.690,14.052,0.057,-0.935
E01000422,21.499,0.029,0.694,11.804,0.331,-0.068
E01000423,10.341,-1.349,-0.950,18.795,0.060,-0.525
E01000424,4.241,-1.336,-0.144,29.816,0.049,-1.161
E01000425,8.465,-0.545,-1.388,11.394,0.020,-0.937
E01000426,11.211,-0.843,-0.896,29.847,0.127,-0.290
E01000427,12.821,-0.936,-0.466,17.632,0.087,-0.535
E01000428,20.885,0.369,0.200,17.261,0.421,0.309
E01000429,30.708,0.498,0.827,18.420,0.311,0.617
E01000430,14.003,-0.594,-0.420,8.520,0.193,-0.225
E01000431,30.508,0.225,0.452,18.596,0.342,0.297
E01000432,27.648,-0.080,0.377,17.061,0.221,-0.025
E01000433,28.709,0.601,0.684,19.367,0.293,0.071
E01000434,52.524,0.629,-0.150,18.222,0.291,1.173
E01000435,32.203,-0.158,0.615,19.646,0.317,0.310
E01000436,13.009,-1.169,-1.501,14.900,0.043,-0.473
E01000437,19.260,-0.314,-0.051,16.685,0.138,-0.114
E01000438,23.391,-0.719,0.023,25.780,0.184,0.233
E01000439,28.584,-0.385,0.502,28.788,0.227,0.301
E01000440,20.482,-1.398,-0.327,17.621,0.069,-0.334
E01000441,31.820,0.227,0.393,16.815,0.306,0.540
E01000442,22.117,-0.759,-0.658,17.986,0.143,-0.225
E01000443,17.594,-0.033,-0.344,23.621,0.082,-0.103
E01000444,5.754,-1.493,-0.179,14.944,0.026,-1.418
E01000445,11.348,-1.253,-0.474,12.192,0.054,-0.571
E01000446,12.405,-0.710,-0.645,18.440,0.038,-0.621
E01000447,6.153,-0.727,0.310,23.184,0.101,-0.777
E01000448,3.883,-1.029,-0.708,11.678,0.057,-1.394
E01000449,4.298,-0.824,0.164,13.959,0.020,-1.482
E01000450,19.042,-0.456,-0.121,15.171,0.157,-0.313
E01000451,17.165,-0.978,-0.735,20.030,0.063,-0.493
E01000452,14.166,-0.962,-0.803,20.561,0.067,-0.523
E01000453,19.152,-1.101,-0.491,20.351,0.097,-0.319
E01000454,23.051,-0.291,0.245,22.020,0.150,-0.307
E01000455,15.974,-0.887,-0.279,20.012,0.066,-0.525
