LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01017043,24.158,0.053,0.307,59.345,0.114,0.514
E01017044,22.997,-0.190,0.172,61.352,0.185,0.278
E01017045,28.651,0.256,0.666,70.811,0.142,0.646
E01017046,8.190,-0.923,-0.825,14.310,0.045,-0.706
E01017047,17.853,-0.423,0.107,59.586,0.095,0.130
E01017048,18.985,0.049,-0.773,39.253,0.111,0.177
E01017049,21.485,-0.453,0.357,55.292,0.107,0.341
E01017050,13.207,-0.766,0.074,25.892,0.089,0.119
E01017051,37.576,0.814,0.180,29.325,0.347,0.908
E01017052,53.151,0.553,0.416,40.061,0.297,1.320
E01017053,67.299,0.704,0.716,38.306,0.329,1.382
E01017054,31.436,0.428,0.670,70.444,0.146,0.662
E01017055,16.128,0.074,1.264,40.946,0.125,0.197
E01017056,8.232,-0.168,-0.199,44.161,0.047,-0.260
E01017057,9.948,-0.242,0.114,42.616,0.028,-0.098
E01017058,27.333,0.397,-0.481,32.505,0.243,0.803
E01017059,10.729,-0.433,-0.448,30.250,0.062,-0.346
E01017060,6.594,-0.687,-0.400,32.881,0.038,-0.620
E01017061,7.042,-0.575,-0.405,22.603,0.035,-0.602
E01017062,1.462,-0.789,-0.451,22.797,0.020,-1.189
E01017063,3.239,-0.542,-1.121,23.165,0.017,-1.040
E01017064,6.366,-0.857,-0.360,28.189,0.055,-0.761
E01017066,14.952,-0.446,-0.536,37.930,0.096,-0.005
E01017067,25.782,0.078,0.938,31.323,0.098,0.670
E01017068,20.202,-0.048,0.752,44.082,0.191,0.518
E01017069,8.021,-0.730,-0.184,34.994,0.039,-0.134
E01017070,6.317,-0.168,0.819,34.434,0.070,-0.399
E01017071,6.270,0.213,0.876,44.345,0.082,-0.309
E01017072,1.496,-0.078,0.797,32.251,0.053,-1.577
E01017073,16.533,0.569,0.468,36.511,0.104,0.464
E01017074,20.156,-0.271,0.776,24.812,0.184,0.480
E01017075,28.475,0.460,1.029,57.062,0.200,0.385
E01017076,30.123,0.475,1.576,57.413,0.221,0.787
E01017077,44.916,1.599,1.416,48.630,0.309,1.057
E01017078,34.922,0.466,0.867,58.087,0.208,1.087
E01017079,50.019,0.254,1.399,47.173,0.254,1.455
E01017080,30.162,0.521,1.269,57.639,0.259,0.714
E01017081,19.781,0.093,0.518,54.485,0.193,0.242
E01017082,31.123,0.549,0.846,61.378,0.220,0.779
E01017083,30.276,0.290,0.447,53.276,0.138,0.698
E01017084,14.139,0.016,1.233,43.310,0.064,-0.285
E01017085,27.809,0.101,0.223,34.570,0.148,0.643
E01017086,17.830,-0.071,-0.041,40.854,0.078,0.059
E01017087,22.996,0.156,0.142,51.568,0.170,0.394
E01017088,20.601,0.114,0.655,56.360,0.120,0.174
E01017089,42.360,0.999,0.895,41.822,0.227,1.106
E01017090,23.966,-0.196,0.687,51.376,0.232,0.609
E01017091,21.842,1.120,0.673,37.425,0.173,0.193
E01017092,13.487,-0.052,0.088,40.471,0.112,-0.255
E01017093,27.703,0.343,0.928,35.859,0.242,0.688
E01017094,7.307,-0.181,-0.471,52.678,0.062,-0.343
E01017095,20.784,0.145,0.023,60.357,0.155,0.621
E01017096,20.534,0.101,0.235,53.052,0.161,0.522
E01017097,13.738,0.236,-0.541,56.378,0.149,0.239
E01017098,33.189,0.654,0.318,51.727,0.218,0.931
E01017099,14.269,0.272,1.635,56.483,0.166,-0.091
E01017100,29.820,-0.373,-0.200,59.634,0.109,0.918
E01017101,14.550,-0.214,0.630,66.071,0.110,0.168
E01017102,58.037,1.394,1.371,26.895,0.316,1.318
E01017103,55.904,1.338,1.562,26.193,0.563,1.027
E01017104,39.730,0.472,0.506,51.205,0.181,1.101
E01017105,26.671,0.628,0.832,55.950,0.126,0.489
E01017106,45.592,0.541,0.836,57.720,0.319,1.266
E01017107,42.195,0.413,1.012,61.984,0.181,1.304
E01017108,42.397,0.783,0.717,64.910,0.263,0.925
E01017109,41.336,0.934,0.952,49.969,0.276,1.103
E01017110,20.811,-0.248,1.715,52.490,0.120,-0.026
E01017111,25.445,0.517,1.502,65.133,0.175,0.589
E01017112,73.842,1.012,1.257,38.554,0.326,1.667
E01017113,25.478,-0.069,0.403,32.461,0.173,0.485
E01017114,10.002,-1.030,-0.333,55.275,0.085,-0.062
E01017115,65.523,0.658,1.108,39.900,0.247,1.665
E01017116,38.645,0.370,0.539,36.116,0.256,1.008
E01017117,53.417,0.678,-0.123,30.898,0.312,1.191
E01017118,79.262,1.386,1.259,38.730,0.430,1.809
E01017119,62.539,0.882,0.799,52.343,0.264,1.517
E01017120,79.368,1.293,1.469,33.278,0.417,1.758
E01017121,7.902,0.234,0.950,41.461,0.079,-0.159
E01017122,11.978,0.520,1.234,40.525,0.129,0.060
E01017123,4.847,-0.113,1.962,52.015,0.079,-0.576
E01017124,5.348,-0.281,0.962,62.343,0.118,-0.510
E01017125,12.780,-0.032,1.279,38.104,0.155,0.129
E01017126,12.697,-0.034,0.974,50.450,0.099,0.294
E01017127,3.025,0.424,0.941,45.063,0.096,-0.791
E01017128,10.212,0.536,1.063,53.475,0.225,-0.492
E01017129,32.121,0.156,0.930,53.317,0.210,1.097
E01017130,64.691,1.504,2.199,30.528,0.434,1.087
E01017131,28.118,-0.382,1.467,29.587,0.235,1.096
E01017132,66.212,0.483,1.140,23.061,0.330,1.574
E01017133,27.719,0.642,1.472,31.577,0.307,0.704
E01017135,7.581,0.386,0.998,47.100,0.115,-0.227
E01017136,12.341,0.645,1.709,35.113,0.212,0.260
E01017137,22.588,1.070,0.928,41.571,0.207,0.840
E01017138,13.375,0.360,0.524,36.149,0.173,0.369
E01017139,36.951,1.099,2.077,37.422,0.337,0.683
E01017140,21.490,0.964,1.189,43.649,0.299,0.235
E01017142,13.001,-0.505,0.507,24.038,0.190,0.318
